id,shortDescription,description,categories,gender,imageUrl,brandName,seasonCode,materials,colors,path,x_overlap,y_overlap,category,encoded_category,x,y
17404428,gabardine trench coat,"Beige cotton gabardine trench coat from Burberry featuring spread collar, double-breasted button fastening, belted waist, epaulettes, long sleeves, belted cuffs, two front flap pockets, central rear vent, mid-length and Vintage Check-pattern lining.","Women, Clothing, Coats, Trench Coats & Raincoats",Woman,https://cdn-images.farfetch-contents.com/17/40/44/28/17404428_36177751_54.jpg,Burberry,AW23,"Cotton, Cupro, Cotton","Brown, HONEY",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/17404428.jpg,14.515597,2.4919202,Coats,0,101.83526812,20.82952021
21003439,faux double-breasted belted midi coat,"faux double-breasted belted midi coat from SOCIÉTÉ ANONYME featuring navy blue, wool blend, serial number print at the heel, wide notch lapels, faux double-breasted front, drop shoulder, long sleeves, belt loops, belted waist, two front patch pockets, central rear vent, straight hem and mid-length. When buying this unisex item, keep in mind that it is graded in standard men's sizing..","Men, Women, Clothing, Clothing, Coats, Coats, Double Breasted Coats, Double Breasted & Peacoats",Unisex,https://cdn-images.farfetch-contents.com/21/00/34/39/21003439_51371656_54.jpg,Société Anonyme,AW23,"Wool, Polyamide","Blue, DARK NAVY PL",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/21003439.jpg,13.445755,1.7139907,Coats,0,96.83526812,13.82952021
14179801,raglan-sleeve waterproof trench overcoat,"Beige cotton twill raglan-sleeve waterproof trench overcoat from Thom Browne featuring classic collar, front button fastening, long sleeves, RWB stripe, buttoned cuffs, belted waist and mid-length.","Women, Clothing, Coats, Trench Coats & Raincoats",Woman,https://cdn-images.farfetch-contents.com/14/17/98/01/14179801_20031978_54.jpg,Thom Browne,AW23,"Silk, Cotton, Polyester","Neutrals, White, 250 KHAKI",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/14179801.jpg,13.758421,3.1401072,Coats,0,95.83526812,25.82952021
21284285,fine-check single breasted coat,"fine-check single breasted coat from MARANT ÉTOILE featuring cream white, fine check pattern, gold-tone buttons, side button fastening, ribbed band collar, central rear vent, two diagonal pockets to the sides, below-knee length and cotton.","Women, Clothing, Coats, Single Breasted Coats",Woman,https://cdn-images.farfetch-contents.com/21/28/42/85/21284285_51252991_54.jpg,MARANT ÉTOILE,AW23,"Synthetic->Acrylic, Wool or fine animal hair->Alpaca Wool, Polyester, Virgin Wool, Wool, Synthetic->Other fibres, Cotton","White, 23EC  ECRU",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/21284285.jpg,12.758442,2.416695,Coats,0,89.83526811999998,19.82952021
16063225,lace-insert tie-waist trench coat,"Black cotton/wool blend lace-insert tie-waist trench coat from DOLCE & GABBANA featuring floral-lace detailing, wide notch lapels, double-breasted button fastening, belted waist, flared design and mid-length.","Women, Clothing, Coats, Trench Coats & Raincoats",Woman,https://cdn-images.farfetch-contents.com/16/06/32/25/16063225_30971616_54.jpg,Dolce & Gabbana,AW23,"Cotton, Polyamide, Polyamide, Viscose, Wool","Black, N0000 BLACK",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/16063225.jpg,13.55144,1.5478712,Coats,0,97.83526812,10.82952021
19760361,Theodore double-breasted coat,"Theodore double-breasted coat from ISABEL MARANT featuring butter yellow, virgin wool-cashmere blend, peak lapels, front button fastening, long sleeves, two side slash pockets and straight hem.","Women, Clothing, Coats, Double Breasted & Peacoats",Woman,https://cdn-images.farfetch-contents.com/19/76/03/61/19760361_51181745_54.jpg,ISABEL MARANT,AW23,"Virgin Wool, Cashmere, Viscose, Polyamide, Wool, Natural (other)->goat hair","Neutrals, 10ST - STRAW",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/19760361.jpg,13.202662,2.2868168,Coats,0,94.83526812,16.82952021
19907590,double-breasted button coat,"double-breasted button coat from Balmain featuring black, lambskin, panelled design, high neck, double-breasted button fastening, epaulettes, two side button-fastening pockets, long sleeves, buttoned cuffs, central rear vent and knee-length.","Women, Clothing, Coats, Double Breasted & Peacoats",Woman,https://cdn-images.farfetch-contents.com/19/90/75/90/19907590_50937838_54.jpg,Balmain,AW23,"Cupro, Furs & Skins->Lambskin","Black, 0PA - 0PA NOIR",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/19907590.jpg,12.7034855,3.8592093,Coats,0,86.83526811999998,26.82952021
20127211,oversized padded coat,"oversized padded coat from MM6 Maison Margiela featuring black, cotton, padded design, classic collar, front button fastening, belted waist, long sleeves, slip pockets to the sides, mid-length and straight hem.","Women, Clothing, Coats, Oversized Coats",Woman,https://cdn-images.farfetch-contents.com/20/12/72/11/20127211_50343106_54.jpg,MM6 Maison Margiela,AW23,"Cotton, Polyamide, Cotton, Viscose, Polyester","Black, 900 - BLACK",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/20127211.jpg,12.944433,4.9243417,Coats,0,90.83526812,33.82952021
20086975,Monet belted-waist leather jacket,"Monet belted-waist leather jacket from P.A.R.O.S.H. featuring walnut brown, goatskin, knitted panels, high neck, front zip fastening, belted waist, half-length sleeves, two side inset pockets and straight hem.","Women, Clothing, Coats, Oversized Coats",Woman,https://cdn-images.farfetch-contents.com/20/08/69/75/20086975_50886205_54.jpg,P.A.R.O.S.H.,AW23,"Furs & Skins->Goat Skin, Synthetic->Acrylic, Polyester, Viscose, Elastane","Brown, 086  BROWN",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/20086975.jpg,12.025549,4.158779,Coats,0,84.83526811999998,29.82952021
16383428,hooded padded coat,"This neutral Jil Sander Plus oversized puffer coat features a drawstring hood, two-way zip opening and long sleeves. Just so you know - you plus this Jil Sander coat equals infinite possibilities. This product is made with over 50% recycled materials.
","Women, Clothing, Coats, Single Breasted Coats, Oversized Coats",Woman,https://cdn-images.farfetch-contents.com/16/38/34/28/16383428_34760539_54.jpg,Jil Sander,AW23,Polyester,"Neutrals, 279 LIGHT BEIGE",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/16383428.jpg,13.417154,6.5635853,Coats,0,97.83526812,47.82952021
