umap_0,umap_1
4.5745554,3.6416326
12.83631,3.4078648
14.241657,2.9443223
14.187799,1.9073673
12.736023,4.009742
12.360656,2.9876847
13.064991,1.3137627
13.97488,2.0626917
12.7969675,1.7853725
14.37769,2.472255
13.244207,2.3308327
13.631086,1.7108645
12.7522955,1.6779628
13.08826,6.165066
13.7587385,2.819299
13.716086,2.672591
11.912746,3.2126224
11.796167,6.7147446
4.453939,3.595347
13.184445,6.5683594
13.426616,5.950377
14.174785,2.8446786
12.294754,1.5159074
13.960761,1.8806907
12.76896,3.9318457
12.254197,3.0473888
13.451959,5.9527617
13.422584,6.476587
13.175767,1.6054413
12.072033,5.1341286
12.676996,1.8443516
12.84543,4.660732
12.407525,2.063458
12.965546,6.2083907
13.103404,5.4125724
11.917622,4.422705
12.910006,5.8228025
7.025971,5.0205545
13.29537,6.668534
13.5630455,1.7982407
14.216809,2.9314709
13.092752,2.1957273
4.633545,6.5301337
14.537645,2.4812272
13.379414,2.7093272
6.825276,2.3384597
11.811945,3.7447362
13.047551,2.1644366
13.545554,5.9766355
14.120764,1.9225307
13.5935755,1.7100091
14.16076,1.918578
13.046635,2.4007776
12.332335,1.8035069
13.238423,1.406546
13.921955,3.1696181
13.453187,1.5887525
12.339442,2.6166806
12.273366,3.0304291
14.5422945,2.3117769
13.344428,5.622582
11.272619,2.9752197
13.630929,5.7813287
12.722137,6.2891264
1.8039628,3.848972
12.301226,3.0683947
13.531328,5.814894
12.890565,3.3203735
12.963841,1.3109977
13.077343,5.3008065
14.318807,2.8652506
7.46505,3.578581
1.8657764,3.9972067
5.7157454,2.6591928
6.9768515,5.0592804
5.2804666,3.2391949
5.233884,2.8779318
7.2295685,5.1752586
6.9564657,2.3067389
8.991332,2.9296107
5.5532837,3.119535
5.9247417,3.1809897
5.2476,3.2513492
5.306752,2.8501017
6.5854816,2.8681896
6.261998,2.0054758
5.5789213,3.5265372
5.560101,3.5969348
6.234695,5.004225
5.9404025,3.2951825
7.1874585,5.2300353
5.51213,3.065767
6.895942,2.714121
5.955166,5.1926794
7.1784854,4.999753
6.0854683,2.7464826
5.9285355,4.4097743
5.2987947,2.5399113
7.7803416,4.0141687
5.636064,2.881857
5.6770024,4.697586
6.3964915,2.7889497
7.437292,2.5946882
5.3359184,2.5559762
6.7021265,2.8119323
13.710457,3.27886
